cupper_points,aroma,flavor,aftertaste,acidity,sweetness,species,country_of_origin,variety,processing_method,color,altitude,unit
7.83,7.83,7.75,7.83,7.75,10,Arabica,Taiwan,Typica,Washed / Wet,Green,1200,m
7.67,7.75,7.67,7.5,7.75,10,Arabica,Colombia,NA,NA,Green,442,m
7.58,7.75,7.58,7.5,7.83,10,Arabica,Colombia,NA,NA,NA,NA,m
7.67,7.75,7.75,7.58,7.75,10,Arabica,Taiwan,NA,Natural / Dry,Blue-Green,NA,m
7.75,7.92,7.67,7.5,7.83,10,Arabica,Colombia,NA,Washed / Wet,NA,NA,m
7.67,7.83,7.75,7.58,7.58,10,Arabica,Colombia,NA,Washed / Wet,None,NA,m
7.58,7.75,7.58,7.67,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.17,8,7.92,7.92,7.92,10,Arabica,Taiwan,Typica,Washed / Wet,Green,950,m
7.5,7.67,7.83,7.67,7.75,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1550,m
7.67,7.67,7.75,7.58,7.67,10,Arabica,Mexico,Typica,Washed / Wet,Blue-Green,900,m
7.83,7.5,7.67,7.58,7.83,10,Arabica,Mexico,Typica,Washed / Wet,NA,1500,m
7.75,7.75,7.92,7.83,7.92,10,Arabica,Mexico,Typica,Washed / Wet,Green,1400,m
7.75,7.92,7.58,7.5,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,2527,m
7.58,7.83,7.67,7.5,7.75,10,Arabica,Colombia,Caturra,NA,Green,NA,m
7.83,7.67,7.67,7.75,7.67,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1850,m
7.67,7.75,7.75,7.5,7.75,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1500,m
7.75,7.75,7.67,7.5,7.75,10,Arabica,Taiwan,NA,NA,NA,1200,m
8,7.25,7.58,7.42,8,10,Arabica,Brazil,Yellow Bourbon,Natural / Dry,Green,1,m
7.83,7.67,7.75,7.67,7.75,10,Arabica,Taiwan,Typica,Washed / Wet,Green,525,m
7.75,7.75,7.75,7.67,7.67,10,Arabica,Ethiopia,NA,Natural / Dry,Green,1676.5,m
8.08,7.67,7.67,7.58,7.5,9.33,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,Green,1200,m
7.67,7.83,7.42,7.5,7.83,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1300,m
7.75,7.58,7.83,7.33,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1219.2,ft
7.75,7.92,7.5,7.33,7.67,10,Arabica,Brazil,Yellow Bourbon,Natural / Dry,Green,1260,m
7.67,7.5,7.67,7.58,7.75,10,Arabica,Ecuador,NA,Natural / Dry,Bluish-Green,800,m
7.92,7.67,7.58,7.58,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.67,7.5,7.83,7.5,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.92,7.67,8,7.67,7.42,10,Arabica,Mexico,Bourbon,Natural / Dry,Green,1218,m
7.83,7.67,7.58,7.5,7.75,10,Arabica,Mexico,Pacas,Natural / Dry,NA,1300,m
7.83,7.83,7.83,7.58,7.67,10,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Green,1250,m
7.5,7.75,7.75,7.58,8,10,Arabica,Thailand,NA,NA,NA,1499.9208,ft
7.75,7.5,7.83,7.58,7.58,10,Arabica,Thailand,NA,NA,NA,NA,m
7.5,7.58,7.83,7.58,8,10,Arabica,Ethiopia,NA,NA,NA,NA,m
7.83,7.75,7.58,7.5,7.58,10,Arabica,Kenya,SL28,Washed / Wet,Green,1800,m
7.75,7.67,7.67,7.58,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.75,7.83,7.83,7.58,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,442,m
7.75,7.67,7.67,7.58,7.58,10,Arabica,Taiwan,Typica,Natural / Dry,Green,750,m
7.67,7.92,7.75,7.5,7.67,10,Arabica,Colombia,NA,Washed / Wet,Green,NA,m
7.75,7.83,7.75,7.67,7.5,10,Arabica,China,Catimor,Washed / Wet,Green,1650,m
7.75,7.75,7.67,7.5,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,442,m
7.67,8,7.92,7.58,7.75,10,Arabica,Uganda,Bourbon,Natural / Dry,Green,1400,m
7.75,7.83,7.83,7.83,7.67,10,Arabica,United States (Puerto Rico),Other,Washed / Wet,Green,853.44,ft
7.67,7.67,7.67,7.67,7.92,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.5,7.67,7.42,7.42,7.42,10,Arabica,Colombia,Other,Washed / Wet,Green,1550,m
7.75,7.58,7.67,7.75,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Blue-Green,1750,m
7.58,7.75,7.67,7.75,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.75,7.25,7.42,7.67,7.58,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.83,7.83,7.58,7.58,7.5,10,Arabica,Mexico,Caturra,Natural / Dry,None,700,m
7.75,7.67,7.58,7.58,7.67,10,Arabica,Guatemala,Caturra,Washed / Wet,Bluish-Green,1300,m
8.08,7.83,7.83,7.58,7.33,10,Arabica,Colombia,NA,NA,NA,1600,m
7.75,7.75,7.67,7.25,7.25,10,Arabica,Colombia,NA,NA,NA,1600,m
7.75,7.83,7.67,7.75,7.67,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.83,7.67,7.83,7.5,7.67,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.75,8.08,7.67,7.67,7.58,10,Arabica,Kenya,SL28,Washed / Wet,Bluish-Green,1700,m
7.33,7.5,7.5,7.67,7.67,10,Arabica,Honduras,Caturra,Washed / Wet,Green,1400,m
7.5,7.67,7.75,7.67,7.67,10,Arabica,Nicaragua,Caturra,Washed / Wet,Green,1250,m
7.83,7.58,7.75,7.58,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,934,m
7.75,7.5,7.67,7.33,7.92,10,Arabica,Taiwan,Caturra,Natural / Dry,Bluish-Green,1200,m
8.33,7.33,7.67,7.67,7.5,10,Arabica,Costa Rica,NA,NA,Blue-Green,1350,m
7.75,7.5,7.75,7.58,7.83,10,Arabica,Thailand,NA,Washed / Wet,Bluish-Green,800,m
7.83,7.5,7.75,7.5,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1625,m
7.5,8,7.5,7.33,8,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1356.6648,ft
7.58,7.83,7.75,7.67,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.92,7.67,7.67,7.67,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1900,m
7.5,7.67,7.67,7.42,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.67,7.83,7.67,7.33,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.83,7.75,7.75,7.58,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
8,8.17,8.17,7.83,7.67,9.33,Arabica,Guatemala,Caturra,Natural / Dry,Green,1450,m
7.5,7.67,8.17,7.5,7.42,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.58,7.67,7.5,7.5,7.33,10,Arabica,Mexico,Typica,Washed / Wet,Green,1100,m
7.58,8.17,7.67,7.58,7.58,10,Arabica,Indonesia,Typica,Washed / Wet,Green,1400,m
7.83,7.67,7.5,7.33,8,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1524,ft
8.17,7.75,8,7.92,8.08,9.33,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.92,7.58,7.67,7.58,7.58,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.58,7.75,7.75,7.5,7.83,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1128.3696,ft
7.67,7.75,7.75,7.58,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.75,7.67,7.58,7.58,7.58,10,Arabica,China,Catimor,Washed / Wet,Green,1100,m
7.58,7.67,7.75,7.58,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.75,7.75,7.75,7.58,7.58,10,Arabica,Mexico,Caturra,Washed / Wet,Green,1200,m
7.75,7.75,7.67,7.58,7.67,10,Arabica,Ethiopia,Other,Washed / Wet,NA,1850,m
7.67,7.67,7.67,7.42,7.75,10,Arabica,Uganda,SL14,Washed / Wet,Green,1800,m
7.67,7.67,7.58,7.67,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1600,m
7.67,7.67,7.58,7.67,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1550,m
7.58,7.75,7.58,7.5,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1550,m
7.5,7.75,7.75,7.75,7.75,10,Arabica,Taiwan,Typica,Other,Green,1000,m
7.67,7.67,7.67,7.58,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.67,7.83,7.67,7.58,7.58,10,Arabica,Mexico,Typica,Washed / Wet,NA,1000,m
7.75,7.67,7.58,7.58,7.58,10,Arabica,Colombia,Caturra,Natural / Dry,Green,2136,m
7.67,7.83,7.75,7.5,7.75,10,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,Blue-Green,1100,m
7.58,7.75,7.58,7.58,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Bluish-Green,1799,m
10,7.58,7.58,7.17,7.17,10,Arabica,Taiwan,NA,NA,Blue-Green,NA,m
7.83,7.92,7.42,7.5,7.67,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1850,m
7.58,7.75,7.58,7.58,7.5,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1000,m
7.58,7.67,7.75,7.5,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Bluish-Green,1219.2,ft
7.75,7.58,7.58,7.58,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.58,7.75,7.67,7.58,7.67,10,Arabica,"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,Green,1400,m
7.67,7.25,7.67,7.58,7.92,10,Arabica,Indonesia,Sumatra,Semi-washed / Semi-pulped,Bluish-Green,1500,m
7.58,7.67,7.75,7.5,7.58,10,Arabica,Ethiopia,NA,Natural / Dry,NA,1600,m
7.67,7.67,7.42,7.67,7.83,10,Arabica,Colombia,NA,Washed / Wet,NA,NA,m
7.58,8,7.58,7.25,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1850,m
7.75,7.58,7.75,7.5,7.83,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1400,m
7.67,7.75,7.58,7.33,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1650,m
7.83,7.67,7.5,7.67,7.5,10,Arabica,Honduras,Caturra,Natural / Dry,Green,1350,m
7.67,7.58,7.75,7.42,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.58,7.58,7.67,7.58,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
8.42,7.83,7.58,7.25,7.5,10,Arabica,Mexico,Bourbon,Natural / Dry,Green,1170,m
7.58,7.67,7.75,7.67,7.75,10,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,Green,940,m
7.83,7.75,7.67,7.67,7.75,10,Arabica,Mexico,Pacamara,Washed / Wet,Green,1400,m
7.5,7.83,7.5,7.5,8,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1524,ft
7.67,7.67,7.58,7.58,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.58,7.5,7.5,7.75,7.5,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1402.08,ft
7.58,7.5,7.67,7.58,7.92,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.58,7.83,7.58,7.58,7.58,10,Arabica,Indonesia,NA,NA,NA,1600,m
7.67,7.5,7.58,7.58,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,439,m
7.67,7.67,7.75,7.5,7.58,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1700,m
7.67,7.67,7.67,7.5,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,442,m
7.83,7.58,7.5,7.42,7.92,10,Arabica,Costa Rica,Caturra,Washed / Wet,Blue-Green,1850,m
10,7.67,7.67,7,7.08,10,Arabica,Taiwan,NA,NA,Blue-Green,NA,m
7.75,7.58,7.75,7.33,7.75,10,Arabica,Uganda,SL14,Washed / Wet,Green,1800,m
7.67,7.5,7.58,7.75,7.5,10,Arabica,Thailand,Catimor,Washed / Wet,Bluish-Green,1200,m
7.58,7.58,7.5,7.75,7.58,10,Arabica,El Salvador,Bourbon,Washed / Wet,NA,1330,m
7.67,7.58,7.67,7.58,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,442,m
7.75,7.33,7.83,7.75,7.5,10,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Green,NA,m
7.58,7.75,7.67,7.58,7.67,10,Arabica,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,1600,m
7.58,7.58,7.58,7.25,7.75,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1813,m
7.5,7.75,7.83,7.33,7.83,10,Arabica,Guatemala,Bourbon,Natural / Dry,Green,1219.2,ft
7.58,7.67,7.75,7.5,7.83,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1500,m
7.58,7.67,7.5,7.75,7.42,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.67,7.42,7.75,7.67,7.58,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,NA,ft
7.67,7.5,7.75,7.58,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1450,m
7.58,7.58,7.58,7.58,7.67,10,Arabica,Colombia,NA,NA,NA,NA,m
7.5,7.5,7.92,7.42,7.67,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.83,7.58,7.25,7.5,7.92,10,Arabica,Thailand,Peaberry,NA,NA,NA,m
8,7.25,7.88,7.38,7.63,10,Arabica,Mexico,NA,NA,NA,1050,m
7.58,7.75,7.5,7.75,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1650,m
7.67,7.67,7.58,7.58,7.42,10,Arabica,Colombia,Caturra,Washed / Wet,Blue-Green,NA,m
7.67,7.83,7.58,7.58,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.58,7.5,7.83,7.33,7.58,10,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,Green,1227,m
7.58,7.75,7.75,7.5,7.67,10,Arabica,Mexico,Caturra,Washed / Wet,Green,1200,m
7.42,7.67,7.75,7.42,7.83,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1650,m
7.58,7.75,7.58,7.67,7.58,10,Arabica,"Tanzania, United Republic Of",Other,Semi-washed / Semi-pulped,Green,1700,m
7.67,7.67,7.67,7.58,7.67,10,Arabica,Mexico,Other,Washed / Wet,Green,1100,m
7.58,7.67,7.67,7.42,7.67,10,Arabica,Costa Rica,Caturra,Washed / Wet,Green,1300,m
7.83,7.83,7.58,7.83,7.67,9.33,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
8,7.5,7.67,7.67,7.5,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1200,m
7.5,7.83,7.75,7.58,7.83,10,Arabica,Peru,NA,Washed / Wet,Green,NA,m
7.83,7.58,7.5,7.67,7.5,10,Arabica,Haiti,Typica,Washed / Wet,Green,1280.16,ft
7.5,7.67,7.67,7.5,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1000,m
7.67,7.83,7.67,7.17,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.83,7.92,7.5,7.58,7.83,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.83,7.75,7.67,7.33,7.5,10,Arabica,Burundi,Bourbon,Washed / Wet,NA,1880,m
7.67,7.5,7.67,7.67,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.92,8.08,7.83,7.83,7.75,9.33,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.5,7.58,7.67,7.58,7.5,10,Arabica,United States (Hawaii),NA,NA,NA,NA,ft
7.67,7.67,7.83,7.42,7.83,10,Arabica,Mexico,Typica,Washed / Wet,Blue-Green,1600,m
7.58,7.5,7.5,7.83,7.5,10,Arabica,Costa Rica,Catuai,Pulped natural / honey,Green,1900,m
7.67,7.83,7.5,7.42,7.67,10,Arabica,Costa Rica,NA,Washed / Wet,NA,NA,m
7.67,7.5,7.58,7.42,7.83,10,Arabica,Guatemala,Pacas,Washed / Wet,Green,2100,m
7.67,7.5,7.67,7.67,7.42,10,Arabica,Uganda,SL14,Washed / Wet,Green,NA,m
8,7.58,7.67,7.42,7.5,10,Arabica,Brazil,NA,NA,Green,NA,m
7.58,7.58,7.67,7.67,7.17,10,Arabica,Colombia,Caturra,Natural / Dry,Green,442,m
7.42,7.83,7.75,7.5,7.58,10,Arabica,Mexico,Typica,Natural / Dry,Bluish-Green,1261,m
7.58,7.67,7.5,7.5,7.5,10,Arabica,Taiwan,Bourbon,Washed / Wet,Blue-Green,1000,m
7.33,7.92,7.83,7.75,7.58,10,Arabica,Taiwan,Typica,Washed / Wet,Green,800,m
7.67,7.58,7.58,7.5,7.58,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1483,m
7.67,7.5,7.67,7.58,7.67,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1500,m
7.58,7.83,7.5,7.67,7.33,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.75,7.58,7.75,7.5,7.5,10,Arabica,Mexico,Bourbon,Washed / Wet,Green,1300,m
7.67,7.58,7.75,7.83,8,9.33,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.67,7.75,7.58,7.58,7.58,10,Arabica,Mexico,Mundo Novo,Washed / Wet,Green,NA,m
7.58,7.75,7.75,7.42,7.92,10,Arabica,Mexico,Caturra,Washed / Wet,Blue-Green,1000,m
7.42,7.83,7.58,7.08,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.58,7.75,7.67,7.5,7.58,10,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Blue-Green,1200,m
7.58,7.67,7.58,7.58,7.42,10,Arabica,Colombia,Caturra,Washed / Wet,Green,175,m
7.67,7.67,7.67,7.5,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.5,7.92,7.75,7.25,7.42,10,Arabica,Colombia,NA,NA,NA,1700,m
7.5,8,7.67,7.67,7.25,10,Arabica,Colombia,NA,NA,NA,1880,m
7.58,7.92,7.75,7.5,7.42,10,Arabica,Colombia,NA,NA,NA,1800,m
7.75,7.67,7.42,7.5,7.58,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.67,7.58,7.58,7.33,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1901,m
7.58,7.67,7.58,7.42,7.67,10,Arabica,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,168,m
7.5,7.92,7.5,7.5,7.58,10,Arabica,Peru,NA,NA,Green,NA,m
7.58,7.58,7.42,7.08,7.33,10,Arabica,Vietnam,Catimor,Natural / Dry,None,1550,m
7.5,7.67,7.75,7.42,7.75,10,Arabica,Guatemala,Caturra,Washed / Wet,Green,1500,m
7.5,7.67,7.67,7.5,7.67,10,Arabica,Honduras,Catuai,Washed / Wet,Blue-Green,1450,m
7.67,7.5,7.67,7.33,7.67,10,Arabica,China,Catimor,Washed / Wet,Green,1200,m
7.67,7.67,7.67,7.5,7.67,10,Arabica,China,Catimor,Washed / Wet,Green,1600,m
7.5,7.5,7.5,7.33,7.67,10,Arabica,El Salvador,Bourbon,Washed / Wet,Green,1350,m
7.5,7.5,7.75,7.5,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1500,m
7.42,7.92,7.67,7.42,7.75,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1650,m
7.83,7.83,7.75,7.67,7.75,9.33,Arabica,Kenya,SL28,Washed / Wet,Bluish-Green,250.5,m
7.5,7.67,7.58,7.58,7.75,10,Arabica,Thailand,NA,Washed / Wet,Bluish-Green,800,m
7.67,7.58,7.67,7.67,7.58,10,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,1653,m
7.75,7.58,7.5,7.5,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,NA,1775,m
7.67,8,7.67,7.5,7.42,10,Arabica,Uganda,SL14,Washed / Wet,Bluish-Green,1800,m
7.58,7.58,7.75,7.5,7.58,10,Arabica,Colombia,NA,Washed / Wet,Green,NA,m
7.67,7.5,7.5,7.5,7.67,10,Arabica,Honduras,Catuai,Natural / Dry,Green,1450,m
7.5,7.67,7.67,7.5,7.67,10,Arabica,Honduras,Caturra,Natural / Dry,Green,1350,m
7.67,7.33,7.83,7.17,8.17,10,Arabica,Guatemala,Catuai,Washed / Wet,Green,1524,ft
7.58,7.5,7.5,7.58,7.42,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.58,7.58,7.5,7.58,7.75,10,Arabica,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,1800,m
7.5,7.67,7.83,7.33,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1310.64,ft
7.75,7.75,7.58,7.58,7.58,10,Arabica,Mexico,Typica,Washed / Wet,Green,1500,m
7.67,7.75,7.67,7.58,7.5,10,Arabica,Mexico,Typica,Washed / Wet,None,532,m
7.67,7.58,7.75,7.42,7.67,10,Arabica,Mexico,Pacamara,Washed / Wet,None,1089,m
7.25,7.67,7.5,7.5,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.58,7.75,7.5,7.42,7.75,10,Arabica,Mexico,Typica,Washed / Wet,Green,700,m
7.5,7.58,7.67,7.5,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Blue-Green,1750,m
7.58,7.5,7.75,7.58,7.58,10,Arabica,Mexico,Typica,Washed / Wet,NA,1380,m
7.5,7.75,7.67,7.58,7.5,10,Arabica,Brazil,Mundo Novo,Natural / Dry,Green,1000,m
7.67,7.92,7.58,7.5,7.58,10,Arabica,Brazil,Mundo Novo,Natural / Dry,Green,950,m
7.5,7.75,7.5,7.67,7.5,9.33,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1402.08,ft
7.58,7.75,7.5,7.58,7.5,10,Arabica,Brazil,Mundo Novo,Semi-washed / Semi-pulped,Blue-Green,1000,m
7.42,7.58,7.75,7.67,7.5,10,Arabica,Brazil,NA,NA,NA,900,m
7.58,7.42,7.83,8.17,8.08,10,Arabica,El Salvador,NA,NA,NA,1200,m
7.92,7.75,8,7.67,8.08,9.33,Arabica,Ethiopia,NA,NA,NA,1850,m
7.5,7.58,7.67,7.33,7.67,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1799,m
7.17,7.75,7.5,7.5,7.42,10,Arabica,Colombia,Caturra,Washed / Wet,Green,NA,m
7.58,7.58,7.58,7.58,7.5,10,Arabica,Brazil,Yellow Bourbon,Pulped natural / honey,Bluish-Green,905,m
7.92,7.33,7.67,7.67,7.33,10,Arabica,Brazil,Yellow Bourbon,Natural / Dry,Green,1,m
7.75,7.83,7.92,7.5,7.83,10,Arabica,Taiwan,Typica,Natural / Dry,Green,750,m
7.5,7.42,7.67,7.58,7.5,10,Arabica,Brazil,Mundo Novo,Natural / Dry,Green,NA,m
7.67,7.58,7.83,7.67,7.42,10,Arabica,Brazil,Bourbon,Washed / Wet,Green,1200,m
7.5,7.83,7.33,7.5,7.67,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1300,m
7.58,7.33,7.75,7.58,7.33,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.58,7.75,7.75,7.5,7.5,10,Arabica,Taiwan,Typica,Other,NA,1300,m
7.5,7.83,7.83,7.33,7.17,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,NA,ft
7.5,7.75,7.67,7.42,7.75,10,Arabica,Mexico,Other,Washed / Wet,NA,1400,m
8.08,7.67,7.58,7.5,7.67,10,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,NA,NA,ft
7.42,7.33,7.58,7.58,7.92,10,Arabica,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,NA,ft
8.17,7.33,7.33,7.33,7.58,10,Arabica,Colombia,Caturra,NA,NA,1775,m
7.58,7.83,7.75,7.33,7.25,10,Arabica,Colombia,NA,NA,NA,1880,m
7.5,7.67,7.58,7.5,7.58,10,Arabica,Indonesia,NA,NA,NA,1350,m
7.75,7.92,7.67,7.67,7.25,10,Arabica,Guatemala,NA,NA,NA,NA,m
7.5,7.58,7.5,7.5,7.75,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,890,m
7.58,7.5,7.58,7.58,7.67,10,Arabica,Brazil,Bourbon,Natural / Dry,Green,894,m
7.58,7.5,7.67,7.58,7.67,10,Arabica,Brazil,Bourbon,Natural / Dry,Bluish-Green,872,m
7.58,7.67,7.58,7.42,7.42,10,Arabica,Uganda,Bourbon,Washed / Wet,Green,1473,m
7.67,7.67,7.67,7.5,7.58,10,Arabica,Uganda,Bourbon,Natural / Dry,Green,1645,m
7.58,7.67,7.67,7.33,7.67,10,Arabica,Colombia,NA,NA,Green,442,m
8,7.75,7.67,7.58,7.58,10,Arabica,Vietnam,Caturra,Other,Green,1550,m
7.42,7.67,7.75,7.33,7.92,10,Arabica,Guatemala,Catuai,Washed / Wet,Green,1550,m
7.58,7.75,7.67,7.33,7.75,10,Arabica,Guatemala,Catuai,Washed / Wet,Green,1371.6,ft
7.33,7.83,7.67,7.25,7.67,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1500,m
7.58,7.67,7.67,7.67,7.5,10,Arabica,Brazil,Catuai,Natural / Dry,Green,1000,m
7.17,7.92,7.92,7.83,7.58,10,Arabica,Taiwan,Typica,Washed / Wet,Green,1200,m
7.5,7.83,7.58,7.5,7.5,10,Arabica,Uganda,SL14,Washed / Wet,Green,1800,m
7.42,7.67,7.5,7.67,7.83,9.33,Arabica,United States (Puerto Rico),Other,Washed / Wet,Bluish-Green,853.44,ft
7.42,7.67,7.67,7.42,7.83,10,Arabica,Guatemala,Bourbon,Washed / Wet,Green,1500,m
7.67,7.67,7.58,7.5,7.58,10,Arabica,Costa Rica,Catuai,Washed / Wet,Green,1200,m
7.5,7.75,7.58,7.42,7.67,10,Arabica,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Bluish-Green,1250,m
8.25,7.75,7.42,7.33,7.5,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
7.58,7.83,7.5,7.58,7.33,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1750,m
7.5,7.33,7.67,7.75,7.42,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1000,m
7.58,7.58,7.75,7.42,7.67,10,Arabica,Colombia,Caturra,Natural / Dry,Green,1000,m
7.67,7.5,7.5,7.42,7.58,10,Arabica,Colombia,Caturra,Washed / Wet,Green,1775,m
